[2023-06-07T17:57:37.819+0300] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: templating.get_data scheduled__2023-06-04T00:00:00+00:00 [queued]>
[2023-06-07T17:57:37.847+0300] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: templating.get_data scheduled__2023-06-04T00:00:00+00:00 [queued]>
[2023-06-07T17:57:37.848+0300] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-06-07T17:57:37.922+0300] {taskinstance.py:1327} INFO - Executing <Task(BashOperator): get_data> on 2023-06-04 00:00:00+00:00
[2023-06-07T17:57:37.936+0300] {standard_task_runner.py:57} INFO - Started process 25497 to run task
[2023-06-07T17:57:37.944+0300] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'templating', 'get_data', 'scheduled__2023-06-04T00:00:00+00:00', '--job-id', '58', '--raw', '--subdir', 'DAGS_FOLDER/templating.py', '--cfg-path', '/tmp/tmpda6_2ath']
[2023-06-07T17:57:37.949+0300] {standard_task_runner.py:85} INFO - Job 58: Subtask get_data
[2023-06-07T17:57:38.191+0300] {task_command.py:410} INFO - Running <TaskInstance: templating.get_data scheduled__2023-06-04T00:00:00+00:00 [running]> on host mutwiri
[2023-06-07T17:57:38.471+0300] {logging_mixin.py:149} WARNING - /home/mutwiri/***/***_env/lib/python3.10/site-packages/***/utils/context.py:205 AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
[2023-06-07T17:57:38.719+0300] {taskinstance.py:1545} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='templating' AIRFLOW_CTX_TASK_ID='get_data' AIRFLOW_CTX_EXECUTION_DATE='2023-06-04T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2023-06-04T00:00:00+00:00'
[2023-06-07T17:57:38.720+0300] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2023-06-07T17:57:38.721+0300] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'curl -o /tmp/wikipageviews.gz https://dumps.wikimedia.org/other/pageviews/2023/2023-06/pageviews-20230604-000000.gz']
[2023-06-07T17:57:38.758+0300] {subprocess.py:86} INFO - Output:
[2023-06-07T17:57:39.207+0300] {subprocess.py:93} INFO -   % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
[2023-06-07T17:57:39.207+0300] {subprocess.py:93} INFO -                                  Dload  Upload   Total   Spent    Left  Speed
[2023-06-07T18:04:43.804+0300] {subprocess.py:93} INFO - 
  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0
  0     0    0     0    0     0      0      0 --:--:--  0:00:02 --:--:--     0
  0 49.9M    0 65200    0     0  18387      0  0:47:25  0:00:03  0:47:22 18392
  0 49.9M    0 81584    0     0  19223      0  0:45:22  0:00:04  0:45:18 19227
  0 49.9M    0  239k    0     0  48211      0  0:18:05  0:00:05  0:18:00 48216
  0 49.9M    0  319k    0     0  55694      0  0:15:39  0:00:05  0:15:34 73182
  0 49.9M    0  399k    0     0  56565      0  0:15:25  0:00:07  0:15:18 78932
  1 49.9M    1  575k    0     0  72073      0  0:12:06  0:00:08  0:11:58  110k
  1 49.9M    1  655k    0     0  75701      0  0:11:31  0:00:08  0:11:23  124k
  1 49.9M    1  767k    0     0  79457      0  0:10:58  0:00:09  0:10:49  109k
  1 49.9M    1  863k    0     0  81325      0  0:10:43  0:00:10  0:10:33  108k
  2 49.9M    2 1023k    0     0  87512      0  0:09:57  0:00:11  0:09:46  131k
  2 49.9M    2 1119k    0     0  88254      0  0:09:52  0:00:12  0:09:40  113k
  2 49.9M    2 1231k    0     0  90980      0  0:09:35  0:00:13  0:09:22  115k
  2 49.9M    2 1359k    0     0  93705      0  0:09:18  0:00:14  0:09:04  119k
  2 49.9M    2 1471k    0     0  91528      0  0:09:31  0:00:16  0:09:15  108k
  3 49.9M    3 1567k    0     0  94983      0  0:09:10  0:00:16  0:08:54  110k
  3 49.9M    3 1647k    0     0  93665      0  0:09:18  0:00:18  0:09:00  105k
  3 49.9M    3 1823k    0     0  98656      0  0:08:50  0:00:18  0:08:32  116k
  3 49.9M    3 1983k    0     0    98k      0  0:08:38  0:00:20  0:08:18  118k
  4 49.9M    4 2095k    0     0    99k      0  0:08:31  0:00:20  0:08:11  138k
  4 49.9M    4 2207k    0     0   100k      0  0:08:28  0:00:21  0:08:07  126k
  4 49.9M    4 2287k    0     0    99k      0  0:08:31  0:00:22  0:08:09  131k
  4 49.9M    4 2447k    0     0   102k      0  0:08:20  0:00:23  0:07:57  123k
  5 49.9M    5 2575k    0     0   103k      0  0:08:13  0:00:24  0:07:49  125k
  5 49.9M    5 2671k    0     0   102k      0  0:08:16  0:00:25  0:07:51  115k
  5 49.9M    5 2799k    0     0   103k      0  0:08:14  0:00:27  0:07:47  114k
  5 49.9M    5 2911k    0     0   104k      0  0:08:09  0:00:27  0:07:42  124k
  5 49.9M    5 2959k    0     0   102k      0  0:08:19  0:00:28  0:07:51  103k
  6 49.9M    6 3183k    0     0   103k      0  0:08:13  0:00:30  0:07:43  103k
  6 49.9M    6 3263k    0     0   105k      0  0:08:03  0:00:30  0:07:33  120k
  6 49.9M    6 3423k    0     0   107k      0  0:07:56  0:00:31  0:07:25  129k
  6 49.9M    6 3551k    0     0   107k      0  0:07:53  0:00:32  0:07:21  127k
  7 49.9M    7 3679k    0     0   108k      0  0:07:50  0:00:33  0:07:17  146k
  7 49.9M    7 3855k    0     0   110k      0  0:07:41  0:00:34  0:07:07  163k
  7 49.9M    7 3935k    0     0   109k      0  0:07:45  0:00:35  0:07:10  134k
  7 49.9M    7 4047k    0     0   109k      0  0:07:45  0:00:36  0:07:09  126k
  8 49.9M    8 4175k    0     0   109k      0  0:07:45  0:00:38  0:07:07  121k
  8 49.9M    8 4351k    0     0   111k      0  0:07:36  0:00:38  0:06:58  134k
  8 49.9M    8 4463k    0     0   111k      0  0:07:36  0:00:39  0:06:57  121k
  9 49.9M    9 4671k    0     0   113k      0  0:07:29  0:00:41  0:06:48  141k
  9 49.9M    9 4815k    0     0   113k      0  0:07:30  0:00:42  0:06:48  137k
  9 49.9M    9 4927k    0     0   114k      0  0:07:26  0:00:43  0:06:43  151k
  9 49.9M    9 5087k    0     0   115k      0  0:07:22  0:00:44  0:06:38  142k
